Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
2MASS J21252752-8138278 b,,12 Jupiters,11.804,2024,1.1 x Jupiter (estimate),Gas Giant,Imaging,7493 AU,811226.1 years,
2MASS J11550485-7919108 b,,20 Jupiters,16.957,2024,1.08 x Jupiter (estimate),Gas Giant,Imaging,587 AU,18525.9 years,
TOI-4336 A b,,5.14 Earths,13.6,2024,2.12 x Earth,Neptune-like,Transit,0.0872 AU,16.3 days,
TOI-871 b,,3.41 Earths,10.569,2024,1.664 x Earth,Super Earth,Transit,0.1054 AU,14.4 days,
KMT-2023-BLG-1642L b,,1.08 Jupiters,Unknown,2024,1.23 x Jupiter (estimate),Gas Giant,Microlensing,1.41 AU,4.1 years,
KMT-2023-BLG-1454L b,,0.63 Jupiters,Unknown,2024,1.26 x Jupiter (estimate),Gas Giant,Microlensing,1.18 AU,3.1 years,
KMT-2023-BLG-0416L b,,13.03096 Earths,Unknown,2024,0.327 x Jupiter (estimate),Neptune-like,Microlensing,2.96 AU,6.4 years,
HIP 39017 b,,23.6 Jupiters,6.96076,2024,1.07 x Jupiter (estimate),Gas Giant,Imaging,22.1 AU,84.9 years,0.55
TOI-1467 b,,9 Earths,12.293,2024,1.676 x Earth,Super Earth,Transit,0.0495 AU,6 days,0.0
TOI-771 b,,2.61 Earths,14.888,2024,1.422 x Earth,Super Earth,Transit,0.0207 AU,2.3 days,
NGTS-30 b,,0.96 Jupiters,12.537,2024,0.928 x Jupiter,Gas Giant,Transit,0.408 AU,98.3 days,0.29
KOI-2513.01,,23 Jupiters,14.913,2023,,,,,,
TOI-2068 b,,3.97 Earths,13.007,2024,1.821 x Earth,Super Earth,Transit,0.0632 AU,7.8 days,
TOI-5799 b,,3.27 Earths,13.29,2024,1.625 x Earth,Super Earth,Transit,0.0352 AU,4.2 days,
KMT-2021-BLG-1150L b,,0.88 Jupiters,Unknown,2023,1.24 x Jupiter (estimate),Gas Giant,Microlensing,4.5 AU,11.2 years,
OGLE-2017-BLG-0640L b,,1.62 Jupiters,Unknown,2024,1.21 x Jupiter (estimate),Gas Giant,Microlensing,1.14 AU,2.2 years,
OGLE-2017-BLG-1275L b,,5.9 Jupiters,Unknown,2024,1.14 x Jupiter (estimate),Gas Giant,Microlensing,2.09 AU,3.8 years,
OGLE-2017-BLG-1237L b,,3.8 Jupiters,Unknown,2024,1.16 x Jupiter (estimate),Gas Giant,Microlensing,2.53 AU,5.9 years,
HD 104067 c,,13.2 Earths,7.92,2024,0.33 x Jupiter (estimate),Neptune-like,Radial Velocity,0.1058 AU,13.9 days,0.29
M62H b,,2.47 Jupiters,Unknown,2024,Unknown,Gas Giant,Pulsar Timing,Unknown,0.1 days,
Luhman 16 b,,29.4 Jupiters,Unknown,2017,,,,,,
TOI-4438 b,,5.4 Earths,13.69,2024,0.225 x Jupiter,Neptune-like,Transit,0.0534 AU,7.4 days,0.14
OGLE-2016-BLG-1093L b,,0.71 Jupiters,Unknown,2022,1.25 x Jupiter (estimate),Gas Giant,Microlensing,2.13 AU,4.6 years,
NGC 2682 Sand 1429 b,,1.8 Jupiters,12.704,2024,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,0.384 AU,77.5 days,0.0
CI Tauri c,,3.6 Jupiters,13.642,2024,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,0.17 AU,25.2 days,0.58
HS Piscium b,,1.46 Jupiters,10.769,2024,1.21 x Jupiter (estimate),Gas Giant,Radial Velocity,0.0435 AU,4 days,0.27
TOI-1994 b,,22.1 Jupiters,10.514,2024,1.22 x Jupiter,Gas Giant,Transit,0.0613 AU,4 days,0.34
TOI-4515 b,,2.005 Jupiters,11.938,2024,1.086 x Jupiter,Gas Giant,Transit,0.118 AU,15.3 days,0.46
LHS 1678 d,,0.907 Earths,12.6,2024,0.981 x Earth,Terrestrial,Transit,0.04 AU,5 days,0.04
